"selected","serving","dataset"
"beans_white","table_spoon","beans_outside"
"mung_pea","table_spoon","beans_outside"
"antaky","table_spoon","beans_outside"
"black_eyed_peas","table_spoon","beans_outside"
"lima_bean","piece","beans"
"mokary","slice","bread_outside"
"mokary","can","bread_outside"
"milk_cow","tea_spoon","dairy"
"margarin","piece","fat_food"
"sugar_can","tea_spoon","fruits_outside"
"malagasy_melon","plate","fruits_outside"
"other","madiko","fruits"
"other","can","fruits"
"sodesiny","table_spoon","greens_outside"
"sweet_potatoes_leaves","table_spoon","greens_outside"
"anamalahy","table_spoon","greens_outside"
"anamamy","table_spoon","greens_outside"
"squash_leaves","toko","greens"
"sweet_potatoes_leaves","plate","greens"
"tisam","toko","greens"
"zebu_meat","table_spoon","meat_outside"
"Tortoise","kilo","meat"
"kapiky","tea_spoon","snacks_outside"
"kapiky","piece","snacks_outside"
"compose","plate","snacks_outside"
"kapiky","table_spoon","snacks_outside"
"henan_osy","table_spoon","snacks_outside"
"spaghetti_macaroni","table_spoon","snacks_outside"
"other","plate","snacks_outside"
"lasopy","table_spoon","snacks_outside"
"paty_instantan","table_spoon","snacks_outside"
"other","table_spoon","snacks_outside"
"piky","table_spoon","tubers_outside"
"piky","toko","tubers"
